Order_No,Time from Pickup to Arrival
Order_No_19248,2825.0487522705334
Order_No_2699,3223.4153992716147
Order_No_21486,3198.4074187224687
Order_No_19336,2599.480799019241
Order_No_20374,3147.505634314007
Order_No_9830,2588.730478215367
Order_No_17505,2599.480799019241
Order_No_23802,3176.3560098357307
Order_No_12736,2748.0785972588046
Order_No_6400,2958.457908467043
Order_No_25920,2197.8707768124877
Order_No_24873,3172.5607697168434
Order_No_4511,3063.940845672453
Order_No_13686,3178.5875148370505
Order_No_19317,3169.707509803234
Order_No_2680,3101.6483368580884
Order_No_7097,3101.6483368580884
Order_No_22701,2763.1922614064692
Order_No_4881,2995.422347438574
Order_No_6340,2958.457908467043
Order_No_27915,2743.6070734711707
Order_No_768,2601.610850062688
Order_No_28256,2588.730478215367
Order_No_16940,2653.973586016372
Order_No_4860,3067.6268253955673
Order_No_19055,2564.600322718306
Order_No_21272,2748.0785972588046
Order_No_2131,2528.940290873009
Order_No_26647,2564.600322718306
Order_No_15717,2660.7943381682944
Order_No_7499,2528.940290873009
Order_No_19277,3076.6173636544954
Order_No_21254,3334.5078792783634
Order_No_15403,2625.5570516779044
Order_No_3402,3469.766671376111
Order_No_20766,2724.0114472862424
Order_No_14859,3134.633674864595
Order_No_7290,2712.963402459026
Order_No_15168,2718.5350385380307
Order_No_13427,2802.178422674823
Order_No_20894,3123.5513805602213
Order_No_10827,3252.7931300520477
Order_No_9447,3257.1345004167556
Order_No_15217,3041.8728922418704
Order_No_2361,2819.7579478930916
Order_No_12210,2924.096739125351
Order_No_15207,2833.4613693414362
Order_No_27745,2838.6321697033354
Order_No_18450,2802.178422674823
Order_No_21282,2815.0950155886776
Order_No_2842,2815.0950155886776
Order_No_22280,3171.598113836126
Order_No_15535,2680.526215014156
Order_No_382,3348.7365361143957
Order_No_21070,2625.5570516779044
Order_No_2603,3381.631117315839
Order_No_16558,2651.3408880965617
Order_No_24712,2651.3408880965617
Order_No_26578,2947.8508450934323
Order_No_21638,2733.817185823964
Order_No_22046,2796.228348800184
Order_No_23183,2868.4052333534164
Order_No_1786,2687.00091994186
Order_No_17033,2932.737180945768
Order_No_6084,2680.526215014156
Order_No_5317,3221.9959440183075
Order_No_15332,2598.841708875255
Order_No_1199,3243.8025917931186
Order_No_21864,3381.631117315839
Order_No_611,3336.300648340114
Order_No_18430,3374.0853950917867
Order_No_8474,3311.0477927539246
Order_No_6339,2998.186483258168
Order_No_14947,3081.780082810562
Order_No_16077,3114.822970138853
Order_No_21778,2819.7579478930916
Order_No_19143,3240.1166120700045
Order_No_25000,3344.330415723455
Order_No_340,2928.265657158134
Order_No_8955,3252.7931300520477
Order_No_6197,3114.822970138853
Order_No_1974,3265.5286804327015
Order_No_22457,3384.8598575403303
Order_No_24241,3275.0656050661673
Order_No_23433,3312.962618266434
Order_No_21373,2803.7474456739856
Order_No_15311,2680.526215014156
Order_No_12748,3277.82410325564
Order_No_11668,3397.2523495020823
Order_No_9978,2838.6321697033354
Order_No_17127,2373.166958603391
Order_No_14906,3294.5535216843805
Order_No_19354,2928.265657158134
Order_No_15209,2651.3408880965617
Order_No_12025,2805.2289484555245
Order_No_26437,3233.2916646548792
Order_No_4137,2712.963402459026
Order_No_12169,2651.3408880965617
Order_No_104,2724.0114472862424
Order_No_2403,2739.948795473868
Order_No_8736,2812.0575546057726
Order_No_15145,2833.4613693414362
Order_No_25380,2711.1310754389215
Order_No_7545,3397.2523495020823
Order_No_14573,3334.5078792783634
Order_No_24305,3134.633674864595
Order_No_23769,3372.060904861646
Order_No_23205,3345.385486172552
Order_No_20815,3348.7365361143957
Order_No_8308,2803.7474456739856
Order_No_20121,2724.0114472862424
Order_No_20598,3348.7365361143957
Order_No_2574,3372.060904861646
Order_No_1601,3026.915708845134
Order_No_19084,3114.822970138853
Order_No_23351,2819.7579478930916
Order_No_17426,3309.1562226483748
Order_No_3798,3233.2916646548792
Order_No_20354,3348.7365361143957
Order_No_24096,3345.385486172552
Order_No_21215,2836.010216951994
Order_No_16573,3372.244368952936
Order_No_6731,3252.7931300520477
Order_No_3166,3334.5078792783634
Order_No_18679,3334.5078792783634
Order_No_23900,3277.82410325564
Order_No_18436,3334.5078792783634
Order_No_1450,2724.0114472862424
Order_No_9797,2639.875302604617
Order_No_21124,3134.633674864595
Order_No_27808,2803.7474456739856
Order_No_15877,2711.1310754389215
Order_No_14360,2939.474471717561
Order_No_6247,2598.841708875255
Order_No_1823,3265.5286804327015
Order_No_8264,2805.2289484555245
Order_No_4106,3227.680393957483
Order_No_2288,3369.576955717078
Order_No_26162,2995.9016627396595
Order_No_16072,2687.00091994186
Order_No_24205,2241.368718353948
Order_No_3870,2711.1310754389215
Order_No_7297,3348.7365361143957
Order_No_26757,3243.8025917931186
Order_No_27741,2306.4649396704613
Order_No_15767,2965.358408227153
Order_No_11781,2991.6998008966625
Order_No_8813,2724.0114472862424
Order_No_19702,2687.00091994186
Order_No_6457,3346.8859965113566
Order_No_6180,2844.793772173624
Order_No_9305,2711.1310754389215
Order_No_16992,3122.8313863372364
Order_No_5873,2812.2319700042935
Order_No_14553,3123.5513805602213
Order_No_4007,3337.3848942527575
Order_No_13713,2839.767603875507
Order_No_20690,2639.875302604617
Order_No_27131,3311.0477927539246
Order_No_17404,3021.036430789394
Order_No_1121,2805.2289484555245
Order_No_10915,3122.8313863372364
Order_No_7190,2833.4613693414362
Order_No_26054,2724.0114472862424
Order_No_19459,2778.8336721976184
Order_No_11439,2991.6998008966625
Order_No_24422,2803.7474456739856
Order_No_10627,3372.060904861646
Order_No_9507,3026.915708845134
Order_No_9063,3358.5824841812528
Order_No_15612,2598.841708875255
Order_No_20974,3293.0356807506832
Order_No_7106,3337.3848942527575
Order_No_21900,3277.82410325564
Order_No_20501,3337.245767911644
Order_No_10649,3348.7365361143957
Order_No_14031,2868.4052333534164
Order_No_26207,3134.633674864595
Order_No_24879,3311.0477927539246
Order_No_26211,3372.244368952936
Order_No_15163,2924.096739125351
Order_No_8174,3336.300648340114
Order_No_10670,3233.2916646548792
Order_No_1480,3227.1974781086865
Order_No_7556,3372.060904861646
Order_No_21894,3233.2916646548792
Order_No_16903,3311.0477927539246
Order_No_20181,3352.033986205048
Order_No_7301,2815.0950155886776
Order_No_4814,2724.0114472862424
Order_No_25817,3311.0477927539246
Order_No_5155,2844.793772173624
Order_No_5658,3287.138520089309
Order_No_7421,2306.4649396704613
Order_No_18730,3337.3848942527575
Order_No_20915,2598.841708875255
Order_No_11317,2651.3408880965617
Order_No_1571,2778.8336721976184
Order_No_13963,2805.2289484555245
Order_No_25600,3352.033986205048
Order_No_653,3372.060904861646
Order_No_21929,3343.352552459036
Order_No_10722,3354.265491206368
Order_No_23724,3257.1345004167556
Order_No_16625,2947.8508450934323
